"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MMAA",193.223228652602,0.202469186403668,0.207650638656194,1.90841250463333,0.752599435892111,NA
"POU4F2",6.59534344130917,-0.19007197227246,1.17889728679388,3.7118874101744,0.446399328618024,NA
"IQCM",3.32823731275712,0.480871721551324,1.78883715943574,2.08367465484888,0.720372186950317,NA
"DCLK2",190.334769810763,0.134031953139884,0.250594784666617,4.27207098067288,0.37043545096521,NA
"MAB21L2",5.59220065119691,0.164952329152716,1.57002362744967,1.77273798589965,0.777466144880022,NA
"PRSS48",1.4450298106881,3.46361213358897,2.93890697497023,10.6710960227682,0.0305200420127081,NA
"MIR4453HG",155.108384502819,0.106875569007046,0.244140695148426,2.92732498481681,0.570060130505386,NA
"TMEM154",12.8354607548376,-0.554132974926357,0.789392098736755,1.19764372715832,0.878486410176223,NA
"TIGD4",38.4975104702597,-0.129917413554579,0.446300055674817,5.35390420158211,0.252872991732499,NA
"FHDC1",213.842354050754,-0.0180987575922181,0.207430410529623,2.55567758801388,0.634694373234859,NA
"ANXA2P1",8.38907769400483,0.72124766000936,0.983687568682528,1.98600771339321,0.738332598562395,NA
"RNF175",39.0652040462076,0.148461447465404,0.485747085493749,1.86242749273231,0.761043274836262,NA
"SFRP2",226.583292528441,0.102883131571777,0.219964753112017,3.25257484852958,0.516481297517347,NA
"DCHS2",57.4732608325829,-0.123995605725786,0.498221057205752,2.8526269410161,0.582782952902222,NA
"FGG",0.913896196396808,-4.06110486694568,6.3696341503676,0.762467827222785,0.943407768442771,NA
"LRAT",45.510679125851,-0.191912215505407,0.552889638426346,1.73203065144531,0.784891325066248,NA
"NPY2R",1.43220769778093,-1.20205326222695,6.3994357393604,2.90531453946697,0.573793769940489,NA
"GASK1B",2.7006402722442,-2.34702179191931,2.09512829935969,1.82759726928877,0.76742958189186,NA
"FSTL5",80.1297990598556,0.204947064569274,0.338325286901693,3.22124170340788,0.521506894327959,NA
"NPY1R",78.1871989536555,0.274465431512671,0.436357559430995,4.1302736057489,0.388662235949442,NA
"NPY5R",23.06063808247,-1.37373509628285,0.669291804405048,5.72952791755935,0.220278340089736,NA
"MARCHF1",107.9116897656,-0.0514266164196117,0.30569761838598,0.202744899162184,0.995196209240806,NA
"ANP32CP",100.131799646022,-0.420218270857798,0.345638915242558,5.0576418847582,0.281434050451551,NA
"GK3",8.36433422199306,-1.53464980774635,1.14984717272102,1.89135776827479,0.755732404865567,NA
"LOC101928131",8.22564281919626,0.505393229381562,1.26673898391603,1.42086945980247,0.840559814166412,NA
"TLL1",84.7203905700073,0.223758285174122,0.362020097066147,1.37702872787497,0.84817754482421,NA
"DDX60",65.9767814563174,-0.0937333492627738,0.37307303903458,2.87572537678895,0.578833168441889,NA
"GALNTL6",142.313479683044,-0.11062731684599,0.234125593140399,2.1741827600317,0.70375853794278,NA
"HAND2",119.046119365436,0.151425096298969,0.314765801351277,3.57094012880214,0.46717403680509,NA
"LINC02268",9.38511958843631,1.15242976151071,0.912842699376279,2.29906141427466,0.680939944072751,NA
"HPGD",117.277884056463,-0.374094025345712,0.280842899440996,1.8538252851468,0.762621386660522,NA
"GLRA3",3.72412265973243,0.996392974841855,1.8581785846873,1.66428562326836,0.797194496287153,NA
"SPATA4",6.8590449260947,-0.907849674889665,1.74191523358685,0.506640421636263,0.972851321942152,NA
"ASB5",3.30489289597323,0.916624414444517,1.84435114052234,1.34568803383526,0.853577588326806,NA
"VEGFC",144.916142320705,0.205444162610686,0.311068169734742,5.76753974170941,0.217194161349129,NA
"AGA-DT",8.21759644747898,-0.987835833255003,1.20088172948882,1.90611000409223,0.753022487539333,NA
"WWC2-AS2",4.25059939553084,-0.115129310350578,1.56574376892458,2.13081292409484,0.711713795437909,NA
"ING2-DT",11.4794317341777,-0.607970869990229,0.712303723877579,2.6067751235737,0.62562341055644,NA
"ENPP6",0.963065207088158,2.31950229344952,5.94870675946465,1.56155412595837,0.815684825653411,NA
"LINC02363",2.48594535287354,-0.883954651451664,2.49944792536098,1.44864760976297,0.835697286950698,NA
"IRF2",227.181679687504,0.0299211264989152,0.203829738786848,2.26575371342955,0.687010879027923,NA
"PRIMPOL",226.522648625068,0.215270988748577,0.217768958213823,5.43064794933377,0.245893173084218,NA
"HELT",11.1609631315977,-0.777744961132274,1.05321403851483,0.933788867029705,0.919663995678426,NA
"LRP2BP",110.37004982954,0.218786243670402,0.279412299853844,3.12585828277182,0.536988638993505,NA
"ANKRD37",9.99123538011388,-0.596374432281251,1.01827270598991,0.856251315741929,0.930751641948974,NA
"CFAP96",12.2733898804007,-1.7226391148705,0.940764855023692,4.83677379496797,0.304459220056426,NA
"CCDC110",67.4307227859372,0.65587294227443,0.341258108335877,8.65413529940136,0.0703504061299423,NA
"SORBS2",130.326015984005,0.243057989590039,0.25694056183137,3.95611100365795,0.411978164238699,NA
"TLR3",6.07749293038541,0.591745272796554,1.5280502059272,5.36756295272346,0.251618386965636,NA
"FAM149A",164.948648069352,0.228686056393808,0.22436886640788,9.80397387943555,0.0438623974503096,NA
"RPSAP70",3.31314169747624,-0.0697028659988455,1.45740323112179,4.30755480239475,0.365980036623633,NA
"FLJ38576",3.65121707148711,-1.39588378994217,1.66363139957195,2.4908748788764,0.646270529403356,NA
"KLKB1",9.60097124520249,0.36356529316914,1.18394857854755,3.73645695733467,0.442845692166938,NA
