"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SUCO",4136.62849835569,0.401084842179947,0.0629629260951401,60.7001842931915,2.0670990013216e-12,1.62616968803217e-10
"PIGT",3508.86492703273,-0.306220128736175,0.0525402852538865,60.4686795680018,2.31220000770645e-12,1.80541408064423e-10
"LAMA5",1936.87367318002,-0.535024904302241,0.0813187424314373,60.0609328723848,2.81658227261072e-12,2.18295557913526e-10
"SLC25A1",3790.80299725975,-0.34909995419961,0.0861819766352078,60.0180488037593,2.87563921706843e-12,2.21233920060198e-10
"CELF1",8750.73676253188,0.386994989031646,0.0550134479898918,58.9820368119934,4.74662990088665e-12,3.62510866080124e-10
"COL6A1",3070.22514754051,-0.596984362525674,0.10160636973722,58.7342462509529,5.35086664501462e-12,4.05696505121652e-10
"TM9SF3",14091.5423188767,0.304164316293862,0.0475660963378469,58.3083304070012,6.57437144272382e-12,4.94875168382873e-10
"ACBD3",6747.77128399283,0.298941377182992,0.048268499166654,57.2287340242941,1.10774744696833e-11,8.27882966973542e-10
"ERGIC3",6790.65622973959,-0.344657485330295,0.0556397373967072,57.1031877235936,1.17701296243185e-11,8.73410399001731e-10
"SCFD1",3809.94490426319,0.391085455545546,0.0722378134214105,56.997133229529,1.23888413210406e-11,9.12848216493293e-10
"EVI5",2184.85931632773,0.551033210344802,0.0933136992824315,56.5074832308968,1.56941335682593e-11,1.14830573094194e-09
"CNPY2",3002.56774719268,-0.274731544123898,0.0691771968896506,56.399171340295,1.65368291886887e-11,1.20156141528646e-09
"CDK2AP2",2366.96539232486,0.197245826562837,0.136811927938043,56.3236872946019,1.71506933091702e-11,1.23757037306102e-09
"LIN7C",2812.86024225319,0.546113650822641,0.0907024264752328,55.2280486328871,2.91045278367447e-11,2.08575804627301e-09
"SLC38A10",2325.18043072744,-0.189773571966349,0.09685112291533,54.9429929718915,3.33957315362618e-11,2.37700366710141e-09
"MBNL2",1143.00567109734,0.336007526944184,0.0808282905996015,54.7782518460536,3.61581139142849e-11,2.55623206679164e-09
"TMEM165",2182.01420583036,0.163183755793308,0.103540939255617,54.6574839542667,3.83270550746513e-11,2.69138239762467e-09
"CTSB",3053.35141493777,-0.291550552476048,0.0619509215272341,54.3522548501261,4.4405741097517e-11,3.0974484606888e-09
"DNAJC12",976.536059424212,0.629859885193904,0.114331247407758,54.2596958682728,4.64327207115951e-11,3.21738779341338e-09
"NFXL1",1744.12261955145,0.323623742940929,0.0793870073323834,54.211789662831,4.75178590001774e-11,3.27091683367668e-09
"TCEAL9",3447.90417205108,0.426349551846286,0.0786659992884741,53.97287424679,5.33196001864951e-11,3.64629396569476e-09
"DNAJB11",4349.5880651295,0.271406104171835,0.0607624591892353,53.9251225014366,5.45613841473709e-11,3.70698546970092e-09
"PRKAR1A",10690.0201765544,0.340367708342674,0.0510087585776024,53.3535382265057,7.18690277740147e-11,4.85139121031946e-09
"NEFM",5746.79611280092,0.245444653118795,0.0600918354310634,53.3167502733473,7.31545670539625e-11,4.90651432747186e-09
"APMAP",3782.86350103276,-0.217696735983371,0.0674792370094679,52.909751214846,8.90047090000783e-11,5.93156860043197e-09
"CD59",2392.27033081035,-0.0784692450995935,0.0865340696674475,52.8786375776629,9.0348941748258e-11,5.9830441614685e-09
"RPL26",18529.2553988644,0.30339141539023,0.0599173680787765,52.8464718890633,9.17599430877709e-11,6.00052677829592e-09
"UBXN4",6310.78245984054,0.286939599372077,0.0580879613480849,52.8574693604432,9.12750623411256e-11,6.00052677829592e-09
"DNAJB4",1703.90622918545,0.438105341211605,0.0850871328908365,52.7445001806,9.63801970187387e-11,6.26351553668983e-09
"TGOLN2",4736.56594498683,0.225010405849043,0.0648883701238026,52.2580878350842,1.21824572994769e-10,7.86821300768065e-09
"CD81",9373.67500065941,-0.389030222067463,0.0602149994932808,51.8164422861635,1.5069106764764e-10,9.67288736685434e-09
"CLSPN",6112.74760007068,0.446462450495481,0.0719604553827106,51.762580953071,1.54649484021067e-10,9.86644848361236e-09
"ERO1B",1372.36871696361,0.415993664512727,0.0962920395606476,51.3966257512553,1.84437124269607e-10,1.16955492801994e-08
"RPS24",28895.231662636,0.24429925128566,0.0504786573021431,51.2416048023421,1.98722955250463e-10,1.25255318119614e-08
"CTSA",2457.89879754471,-0.348533929001675,0.0674770264010014,50.8621663255121,2.38526082102715e-10,1.49443017786869e-08
"COL18A1",3004.46490649605,-0.4907170464751,0.0806629164112363,50.806237431716,2.45030951794918e-10,1.52604693370847e-08
"RRBP1",5386.59516867719,0.0955263529694066,0.0565437254340569,50.389381992386,2.99431859127689e-10,1.85381984736865e-08
"P4HB",33351.1370712969,0.1100262571565,0.049254344608915,50.1104293954351,3.42415306458956e-10,2.10746550087062e-08
"HSD17B4",7503.53905813431,0.29831156827884,0.0484301373910106,49.958793183272,3.68311228140722e-10,2.25359086551835e-08
